"phase1_rank","folder_name","file_count","total_size_mb","phase1_status","recommended_sample_docs","priority","selection_reason"
"1","202212. k-water 데이터허브플랫폼_ISP","3418","18764.05","partial_sample","8","high","대용량 프로젝트 폴더이므로 전체 복사 대신 대표 문서 표본 추출 권장"
"2","202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP","2882","4113.84","partial_sample","8","high","대용량 프로젝트 폴더이므로 전체 복사 대신 대표 문서 표본 추출 권장"
"3","142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP","2705","7355.53","partial_sample","8","high","대용량 프로젝트 폴더이므로 전체 복사 대신 대표 문서 표본 추출 권장"
"4","61. 농정원 AGRIX","1930","4124.23","partial_sample","8","high","대용량 프로젝트 폴더이므로 전체 복사 대신 대표 문서 표본 추출 권장"
"5","72. LH 스마트시티플랫폼","1899","8761","partial_sample","8","high","대용량 프로젝트 폴더이므로 전체 복사 대신 대표 문서 표본 추출 권장"
"6","56. 자율주행차_성과평가","1737","2697.56","partial_sample","8","high","대용량 프로젝트 폴더이므로 전체 복사 대신 대표 문서 표본 추출 권장"
"7","112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP","1497","4359.78","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"8","202403. 기재부_전자수입인지 기관선정연구","1414","3247.01","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"9","202503. AX 활용 정보화전략계획수립_서울주택도시개발공사","1350","5425.88","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"10","191. 제3차 보건의료기술 종합정보시스템 중기 isp 수립","1175","4923.05","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"11","201703. 통계청 통계지리정보서비스 ISP","1149","7036.85","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"12","64. 재난정신건강서비스","915","2815.63","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"13","202312. 법무부_디지털플랫폼 교육강화, 환경개선 로드맵 연구사업","889","2135.25","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"14","149. 국토지리정보원","863","4580.45","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"15","202305. AI 기반 지능형 진로교육정보망","787","3519.55","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"16","215. K-water 데이터허브","765","5712.46","include","8","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"17","90. 안양시청","686","4904.07","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"18","202508  선관위 기능점수산정","661","359.28","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"19","53. 기상청(기상산업진흥원)","637","2466.47","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"20","202407. 범죄예방정책_거대언어모델 도입활용방안 연구","608","1767.18","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"21","94. 정신건강포털 ISP","588","2902.17","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"22","46. 기재부수입인지구축","528","1380.1","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"23","47. 생활화학제품 및 살생물제 관리제도 도입을 위한 ISP수립","511","1222.69","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"24","205. 전화시스템 고도화를 위한 ISP 사업","497","1801.39","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"25","202503. 스토킹 전자장치 부과제도 관련 경찰, 법무 시스템 연계 ISP 사업","454","1914.55","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"26","42. 국토지리정보원","434","1591.61","include","6","medium","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"27","202507. 농정원 수준진단 사업","432","1631.35","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
"28","196. 정신건강 평가시스템 ISP","418","926.18","include","6","high","프로젝트 단위 문서 구성이 비교적 명확하여 1차 표본 적재에 적합"
