phase1_rank,folder_name,category,preferred_subpath,selection_note
1,202212. k-water 데이터허브플랫폼_ISP,rfp,"0. RFP","과업지시서/제안요청서 우선"
1,202212. k-water 데이터허브플랫폼_ISP,proposal,"★ 제안서","최종 제안본 우선, 없으면 1. 제안서"
1,202212. k-water 데이터허브플랫폼_ISP,kickoff,"2. 사업수행","착수/착수보고 키워드 파일 우선"
1,202212. k-water 데이터허브플랫폼_ISP,final_report,"★ 산출물","최종 산출물 우선"
1,202212. k-water 데이터허브플랫폼_ISP,presentation,"★ 발표자료","발표 최종본 우선"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,rfp,"00. RFP","제안요청서.hwpx/pdf 우선"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,proposal,"01. 제안서","평가본/발표본 우선"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,kickoff,"03. 사업수행","착수보고 또는 초기 수행보고 우선"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,final_report,"03. 사업수행","최종보고/산출물 키워드 파일 우선"
2,202603. AX기반의 차세대 업무 시스템 구축을 위한 ISMP,presentation,"01. 제안서","발표본 키워드 파일 우선"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,rfp,"00. RFP","RFP 원본 우선"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,proposal,"★ 제안서","최종 제안본 우선, 없으면 01. 제안서"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,kickoff,"04. 사업수행","착수보고 키워드 우선"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,final_report,"★ 산출물","최종보고/산출물 우선"
3,142. 차세대 보건의료빅데이터개방시스템 구축을 위한 ISP,presentation,"★ 발표자료","최종 발표본 우선"
4,61. 농정원 AGRIX,rfp,"붙임1_2017년 농업경영체 지원사업 통합관리 시스템 구축사업 제안요청서_170406.hwp","루트에 직접 존재"
4,61. 농정원 AGRIX,proposal,"★ 제안서","최종 제안본 우선"
4,61. 농정원 AGRIX,kickoff,"사업수행","착수/초기보고 키워드 우선"
4,61. 농정원 AGRIX,final_report,"★ 산출물","최종 산출물 우선"
4,61. 농정원 AGRIX,presentation,"★ 발표자료","발표자료_컨설팅.pptx 포함 검토"
5,72. LH 스마트시티플랫폼,rfp,"00. 사업준비","등록2_과업내용서.hwp, 등록3_제안요청서.hwp 우선"
5,72. LH 스마트시티플랫폼,proposal,"★ 제안서","최종 제안본 우선, 없으면 01. 제안서"
5,72. LH 스마트시티플랫폼,kickoff,"02. 착수계","착수계/착수보고 우선"
5,72. LH 스마트시티플랫폼,final_report,"★ 산출물","최종 산출물 우선"
5,72. LH 스마트시티플랫폼,presentation,"★ 발표자료","발표 최종본 우선"
6,56. 자율주행차_성과평가,rfp,"사업공고&연구계획서&제안발표자료","사업공고/연구계획서 우선"
6,56. 자율주행차_성과평가,proposal,"사업공고&연구계획서&제안발표자료","제안서평가 발표자료 및 연구계획서 우선"
6,56. 자율주행차_성과평가,kickoff,"1차년도","초기 연차 자료 우선"
6,56. 자율주행차_성과평가,final_report,"연차평가","연차평가 또는 성과보고 우선"
6,56. 자율주행차_성과평가,presentation,"★ 제안발표자료(1,2,3)","발표자료 우선"
7,112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP,rfp,"01.RFP","RFP 원본 우선"
7,112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP,proposal,"★ 제안서","최종 제안본 우선, 없으면 02.제안서"
7,112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP,kickoff,"05. 사업수행","착수보고 우선"
7,112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP,final_report,"07. 완료보고서","완료보고서 우선, 보조로 ★ 산출물"
7,112. 차세대 국립병원 정보시스템 구축을 위한 BPRISP,presentation,"★ 발표자료","발표자료 우선"
8,202403. 기재부_전자수입인지 기관선정연구,rfp,"0. RFP","RFP 원본 우선"
8,202403. 기재부_전자수입인지 기관선정연구,proposal,"★ 제안서","제안서 최종본 우선"
8,202403. 기재부_전자수입인지 기관선정연구,kickoff,"2. 사업수행","착수보고 키워드 우선"
8,202403. 기재부_전자수입인지 기관선정연구,final_report,"★ 산출물","최종 산출물 우선"
8,202403. 기재부_전자수입인지 기관선정연구,presentation,"★발표자료","발표 최종본 우선"
